,Year,gender,age group,Value,% of total,rank
142,2021,male,35-39,20387,0.12111760652075759,4.0
143,2021,male,<20,202,0.00120006653834272,6.0
144,2022,female,+40,25164,0.16149714087679778,4.0
145,2022,female,20-24,27295,0.17517344063869797,3.0
146,2022,female,25-29,57927,0.37176302970792663,1.0
147,2022,female,30-34,29282,0.18792557936553778,2.0
148,2022,female,35-39,15076,0.09675452614284706,5.0
149,2022,female,<20,1073,0.006886283268192816,6.0
150,2022,male,+40,32499,0.20857159360018485,3.0
151,2022,male,20-24,12274,0.07877189266896423,5.0
152,2022,male,25-29,52903,0.3395200780402652,1.0
153,2022,male,30-34,37899,0.2432276324149483,2.0
154,2022,male,35-39,20064,0.12876643755174338,4.0
155,2022,male,<20,178,0.0011423657238940552,6.0
156,2023,female,+40,25518,0.17490301443474207,3.0
157,2023,female,20-24,24581,0.1684807194067088,4.0
158,2023,female,25-29,54226,0.3716706191997149,1.0
159,2023,female,30-34,26813,0.1837790785343185,2.0
160,2023,female,35-39,13796,0.09455921260058398,5.0
161,2023,female,<20,964,0.006607355823931788,6.0
162,2023,male,+40,32114,0.22011268146239155,3.0
163,2023,male,20-24,10950,0.07505243389217124,5.0
164,2023,male,25-29,49407,0.3386406941836077,1.0
165,2023,male,30-34,35149,0.2409148857420938,2.0
166,2023,male,35-39,18110,0.1241278153230339,4.0
167,2023,male,<20,168,0.0011514893967018054,6.0
