DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2009,6711,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2010,5519,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2011,4486,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2012,4036,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2013,3207,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2014,2757,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2015,2464,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2016,1981,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2017,1715,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2018,1523,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2019,1278,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2020,855,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2021,838,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2022,665,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y20,PL,1995,26501,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y20,PL,1996,25170,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y20,PL,1997,23607,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y20,PL,1998,22320,
