"Code";"Name";"Location";"Types of marriages";"Age of females";"Age of males";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"total";"total";"50-59";"males total";"2023";6614;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2010";2236;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2011";2382;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2012";2411;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2013";2525;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2014";2659;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2015";2853;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2016";3158;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2017";3257;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2018";3437;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2019";3686;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2020";3104;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2021";3428;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2022";3710;"-";"";
0000000;"POLAND";"total";"total";"60 and more";"males total";"2023";4041;"-";"";
